current_cash,monthly_revenue,monthly_expenses,debt_obligations,burn_rate,proposed_purchase_amount,purchase_category,predicted_cash_3m,predicted_runway_months,cash_shortage_probability,financial_risk_level
59665979.56,17079076.9,10011423.64,130017.58,-6937635.68,113942.71,Software,81416945.28,5.87,0.02,MEDIUM
23634310.88,7642221.68,6829153.53,67138.53,-745929.62,13402.23,Office Supplies,25767867.09,3.43,0.0765,MEDIUM
39239804.75,7555331.84,5276901.97,69813.29,-2208616.59,110727.21,Infrastructure,45986392.64,7.32,0.0146,LOW
3490448.47,973515.84,646507.03,43579.44,-283429.37,858297.55,Infrastructure,3442050.11,3.81,0.015,MEDIUM
34568442.87,8999633.65,7163841.75,357980.87,-1477811.02,347552.85,Hardware,38906676.77,4.55,0.0332,MEDIUM
110966304.7,11912487.33,8856429.85,63852.76,-2992204.72,212880.11,Hardware,119993333.53,12.42,0.0057,LOW
31643924.37,13626358.8,10043713.67,615400.41,-2967244.72,163690.59,Services,40965497.22,2.95,0.0107,HIGH
17956001.28,3653612.14,2172500.2,125192.54,-1355919.39,375665.05,Hardware,21798539.18,7.65,0.0245,LOW
26910392.5,16491890.27,10097125.47,453481.55,-5941283.24,292256.05,Marketing,43231435.99,2.52,0.0161,HIGH
49589613.38,4747708.24,3485785.26,27040.18,-1234882.8,189107.66,Hardware,53143611.36,14.06,0.0341,LOW
43362415.23,10002815.95,7270330.4,425341.07,-2307144.48,31700.02,Office Supplies,50505745.17,5.63,0.0187,MEDIUM
18074598.9,4331686.58,2823039.05,2242.14,-1506405.39,6734.13,Software,22786731.76,6.4,0.0189,LOW
98875621.24,16234873.96,10513936.95,497532.17,-5223404.84,224708.95,Software,113843946.44,8.96,0.0173,LOW
11874155.94,1578159.21,1243239.32,35712.88,-299207.01,42670.83,Marketing,12750444.25,9.25,0.0024,LOW
8273630.16,665922.01,574256.81,9094.58,-82570.62,35109.14,Office Supplies,8493343.99,14.12,0.0149,LOW
5356037.48,1841744.39,1536739.28,72639.11,-232366.01,529739.19,Infrastructure,5472608.91,3.0,0.2277,HIGH
116953885.61,16687037.83,13616828.36,59798.8,-3010410.67,29024.45,Services,125586993.49,8.55,0.0188,LOW
5858439.95,2460725.87,1659025.69,12124.0,-789576.18,674657.24,Infrastructure,7427085.74,3.1,0.0398,MEDIUM
45350464.88,3889346.1,3338534.16,133237.59,-417574.35,442519.66,Hardware,46195166.94,12.94,0.0261,LOW
56196513.27,14611464.11,11760328.53,614482.28,-2236653.29,163553.95,Software,62932662.73,4.53,0.034,MEDIUM
194745186.39,13146000.23,10918614.28,485271.03,-1742114.93,61998.84,Infrastructure,200117821.95,17.07,0.0296,LOW
44308353.09,6472002.63,4817996.78,14941.58,-1639064.26,186490.27,Hardware,48709243.78,9.13,0.0349,LOW
12622134.58,2444601.45,1393769.09,1079.9,-1049752.46,225345.28,Hardware,15429647.23,8.89,0.0183,LOW
172209180.95,15988402.47,13874453.33,669873.99,-1444075.15,29797.92,Services,176315231.53,11.84,0.0003,LOW
105980606.02,7740630.79,6625199.13,226080.92,-889350.74,316774.65,Hardware,108459330.06,15.42,0.0152,LOW
43671031.16,5561063.39,3866871.25,39419.07,-1654773.07,185176.23,Marketing,48362393.3,11.13,0.0057,LOW
6936890.8,4128255.57,2976944.71,90654.59,-1060656.27,34849.06,Office Supplies,9888677.9,2.25,0.201,HIGH
25028866.04,10270003.53,7354446.83,218574.97,-2696981.73,386656.63,Infrastructure,32223815.69,3.25,0.0371,MEDIUM
153798000.45,15415791.86,10832262.41,419234.61,-4164294.83,195543.81,Hardware,166084185.27,13.65,0.0229,LOW
38024467.05,4314145.07,3832802.7,161228.17,-320114.21,95448.53,Hardware,38834013.1,9.5,0.0344,LOW
93846623.35,18588771.88,15885405.42,353912.33,-2349454.13,161434.07,Hardware,101057729.98,5.77,0.0443,MEDIUM
37812333.9,3930220.73,2828600.17,166.73,-1101453.83,7301.6,Office Supplies,41270930.02,13.36,0.0208,LOW
18603456.12,2386865.23,1597471.88,12204.77,-777188.58,92178.87,Software,20740912.24,11.5,0.03,LOW
75698458.0,19811824.51,16737995.88,914396.74,-2159431.88,101047.58,Services,82429907.08,4.28,0.0194,MEDIUM
56060389.03,7853599.69,7388532.72,200468.56,-264598.42,464946.88,Marketing,56353224.56,7.33,0.0276,LOW
14940669.1,15698489.13,10086760.28,424866.81,-5186862.03,347797.48,Marketing,31200458.91,1.39,0.0956,HIGH
28428071.54,14714261.8,12154540.87,253464.49,-2306256.44,225311.89,Software,34728506.18,2.27,0.241,HIGH
190541459.24,19762709.36,15563996.24,165677.87,-4033035.25,200901.36,Hardware,202629977.95,12.1,0.014,LOW
6568758.94,1351779.69,886347.03,63306.64,-402126.02,175807.78,Software,7518638.16,6.73,0.0226,LOW
16841062.81,3001508.29,1839178.03,77828.19,-1084502.06,57439.98,Hardware,19836303.23,8.76,0.0348,LOW
174645945.92,15567196.21,14452586.52,660035.35,-454574.33,180639.59,Marketing,175817726.72,11.54,0.0306,LOW
162571692.86,15906143.8,13375024.03,662197.23,-1868922.54,449307.21,Marketing,167802386.89,11.55,0.0224,LOW
138734239.09,12205215.09,8254259.2,82276.5,-3868679.39,79634.63,Marketing,149850549.03,16.63,0.0427,LOW
106063394.27,15915285.0,15042139.06,587090.49,-286055.45,638820.5,Infrastructure,106305108.68,6.75,0.0497,LOW
22859605.69,17882023.99,9902443.71,188887.21,-7790693.07,42999.49,Office Supplies,47554577.26,2.26,0.0157,HIGH
80704017.2,17300625.94,10170781.24,717189.25,-6412655.46,180931.42,Software,101241820.95,7.4,0.0183,LOW
88347252.52,7371782.44,6466457.07,277656.15,-627669.22,217997.92,Hardware,89953539.02,13.07,0.0205,LOW
17118558.39,10016069.4,7754656.12,287440.53,-1973972.75,160038.94,Software,23060219.07,2.11,0.168,HIGH
71053836.42,11824858.82,9271859.6,578253.21,-1974746.01,210821.32,Software,76401209.77,7.19,0.0104,LOW
102312028.9,16554314.63,12413028.24,408685.99,-3732600.41,239626.66,Software,113620662.98,7.96,0.0057,LOW
19602538.89,4825166.21,4552389.21,222180.38,-50596.62,27680.11,Software,19729415.35,4.1,0.0263,MEDIUM
49796084.39,5721337.1,3230566.64,88815.83,-2401954.63,843054.12,Infrastructure,55862211.58,14.75,0.0336,LOW
76031809.86,12226843.62,10391521.43,474722.44,-1360599.75,263662.08,Infrastructure,79977197.67,6.97,0.0452,LOW
118527583.71,16496413.51,10619863.22,483342.11,-5393208.18,89277.07,Hardware,135525572.91,10.67,0.05,LOW
13239663.93,4747631.52,3811621.86,76474.05,-859535.61,30109.86,Services,15915532.52,3.4,0.0035,MEDIUM
66951120.14,12203878.26,10323341.98,537327.37,-1343208.91,320234.89,Hardware,70881685.45,6.14,0.0452,LOW
232396483.36,16713713.95,14755344.2,750471.08,-1207898.67,412166.74,Hardware,235892955.56,14.96,0.0353,LOW
61007512.56,8413413.35,4752981.72,166234.31,-3494197.32,618322.43,Infrastructure,70633630.18,12.28,0.0049,LOW
20651351.94,4554229.29,3912192.94,53228.51,-588807.85,84026.24,Services,22411749.08,5.19,0.0302,MEDIUM
5169053.78,669200.73,574659.38,13382.1,-81159.24,37370.16,Office Supplies,5385881.02,8.73,0.0311,LOW
116518231.19,13186937.51,9513842.69,238922.56,-3434172.26,561460.36,Infrastructure,125658628.4,11.89,0.0139,LOW
156739278.64,14722905.87,11409682.87,445626.79,-2867596.21,212272.37,Software,165075978.96,13.2,0.0318,LOW
208242755.99,17894688.63,12194314.38,828281.86,-4872092.38,212220.84,Marketing,221628050.58,15.97,0.0439,LOW
16040280.25,4707956.35,3760150.68,100936.78,-846868.9,246936.24,Hardware,18186020.48,4.09,0.0239,MEDIUM
3904937.24,4914076.78,3280115.31,226018.45,-1407943.02,35194.78,Services,7871669.01,1.1,0.0841,HIGH
142902729.54,17094187.55,11250524.71,448902.39,-5394760.46,13017.64,Office Supplies,159875123.17,12.21,0.0206,LOW
56944337.18,18291073.02,11412367.46,285954.64,-6592750.92,60660.11,Hardware,76802048.9,4.86,0.0324,MEDIUM
25992212.62,6545075.78,4302616.26,318098.54,-1924360.99,39507.26,Services,32174010.23,5.62,0.0015,MEDIUM
138252041.54,14015981.46,9080397.83,257792.94,-4677790.69,30844.3,Office Supplies,152118093.64,14.8,0.0176,LOW
130040281.49,17941689.01,10520011.29,461777.67,-6959900.05,5126.03,Office Supplies,150368185.09,11.84,0.0495,LOW
3346470.96,657255.39,572523.76,10152.27,-74579.36,46557.05,Services,3525053.55,5.66,0.0353,MEDIUM
85396078.09,17996469.98,13263096.75,747589.58,-3985783.65,93524.17,Software,96924693.33,6.09,0.0047,LOW
121057194.1,12852035.25,7355489.89,115079.32,-5381466.04,338687.66,Hardware,137694170.92,16.16,0.0035,LOW
56802414.8,13038583.12,8831324.69,174174.48,-4033083.95,29739.55,Office Supplies,69820656.68,6.3,0.0018,LOW
92900876.41,19157799.48,12390206.64,365535.29,-6402057.55,680766.81,Infrastructure,112959635.33,7.23,0.03,LOW
60432166.14,15619670.75,12151150.42,419590.8,-3048929.53,290810.35,Hardware,68692308.17,4.78,0.0033,MEDIUM
60843361.12,16543042.67,14276219.34,559822.6,-1707000.73,803397.06,Infrastructure,65393207.1,4.05,0.0153,MEDIUM
16903143.41,5968632.45,4789054.25,656.73,-1178921.47,343206.82,Marketing,20103710.75,3.46,0.0094,MEDIUM
32678845.48,8497174.46,5358562.09,219818.64,-2918793.72,268568.55,Infrastructure,40799772.73,5.81,0.0104,MEDIUM
96910263.26,7733076.78,7157955.02,147411.37,-427710.39,291681.73,Infrastructure,97806716.34,13.23,0.0217,LOW
56727132.11,16263272.47,14226690.4,202550.41,-1834031.66,217765.3,Infrastructure,62402133.97,3.92,0.0472,MEDIUM
67234159.02,11312458.87,7776299.21,115501.58,-3420658.09,295144.6,Hardware,76950425.93,8.48,0.0487,LOW
232678593.69,17125012.75,13758931.03,690960.57,-2675121.14,125667.94,Services,241065124.36,16.09,0.0461,LOW
79423796.54,16948796.0,15190384.23,361789.0,-1396622.76,879943.29,Infrastructure,82681398.1,5.05,0.0163,MEDIUM
62566387.05,6792960.73,3997320.82,137509.09,-2658130.83,140427.92,Hardware,69921378.71,15.1,0.0275,LOW
27676040.22,4427478.5,2501765.47,130323.48,-1795389.55,35911.11,Services,33033759.75,10.5,0.0228,LOW
240000482.91,18723948.53,17682560.7,571567.83,-469820.0,340141.76,Marketing,241073487.13,13.13,0.0217,LOW
77034159.12,9274490.62,7100156.43,211915.22,-1962418.97,356382.18,Marketing,82525072.17,10.49,0.0427,LOW
184224118.02,13028316.58,11710802.45,282213.06,-1035301.08,56226.71,Hardware,187154956.33,15.36,0.022,LOW
16357253.45,2099691.76,1176933.4,83821.88,-838936.49,161262.37,Services,18894450.26,12.85,0.0466,LOW
57976374.88,9236602.21,6324199.36,165564.52,-2746838.32,369389.9,Marketing,65188326.7,8.88,0.0169,LOW
142079412.43,11084981.08,8336718.02,380339.54,-2367923.52,255869.5,Marketing,148691503.74,16.27,0.0281,LOW
52971526.04,14602487.87,9086847.76,151491.45,-5364148.66,126032.29,Services,69297538.3,5.72,0.0217,MEDIUM
103834898.61,10583896.78,5900084.47,490220.53,-4193591.78,154299.07,Services,115288405.58,16.22,0.0168,LOW
81729209.2,8474734.73,7565809.7,401868.39,-507056.63,184714.73,Marketing,82955059.79,10.23,0.0412,LOW
39888544.54,15113104.09,9909925.35,423915.07,-4779263.66,243740.0,Hardware,54448305.15,3.84,0.0294,MEDIUM
48914278.42,18040418.97,15706257.87,865007.41,-1469153.69,102479.33,Software,53557991.27,2.95,0.1865,HIGH
45871050.99,5193990.47,3529266.92,127383.23,-1537340.32,10276.62,Office Supplies,50381582.15,12.54,0.0415,LOW
106597644.9,10526163.73,9113912.62,400305.35,-1011945.76,157604.03,Software,109372670.42,11.19,0.0122,LOW
212666609.4,15098773.12,13494989.95,506694.58,-1097088.58,100307.5,Software,215778995.39,15.18,0.0009,LOW
22168440.01,16878020.41,9429653.23,644847.72,-6803519.46,283650.31,Marketing,41894884.79,2.17,0.0167,HIGH
69819904.89,19353341.45,15369571.41,734548.35,-3249221.69,46191.71,Office Supplies,80082304.73,4.33,0.0074,MEDIUM
128017703.97,17430422.37,14523816.06,456834.69,-2449771.62,43410.87,Marketing,134989931.3,8.54,0.0164,LOW
42743632.35,3360279.28,3118815.63,36229.18,-205234.47,139200.54,Services,43191693.15,13.5,0.0298,LOW
53463433.79,8357843.61,7207413.25,308717.65,-841712.71,73625.6,Software,55929982.8,7.1,0.0337,LOW
18604810.56,3435514.66,2195088.17,72434.21,-1167992.28,362750.92,Marketing,21882150.34,8.04,0.0024,LOW
251864623.72,17714508.9,15682289.59,267004.72,-1765214.59,97586.98,Services,257389859.74,15.79,0.0087,LOW
26729266.02,8562790.51,5175024.74,168007.65,-3219758.12,347503.64,Infrastructure,35331876.23,4.94,0.0307,MEDIUM
188611595.69,18235050.37,16702067.01,741908.82,-791074.54,158875.76,Services,191002962.67,10.8,0.0429,LOW
123665965.84,12458876.76,10261820.31,586158.38,-1610898.07,727219.03,Infrastructure,127491792.2,11.33,0.0177,LOW
51466236.41,4210035.21,3578369.23,184857.93,-446808.04,481716.99,Hardware,52385854.19,13.55,0.0238,LOW
42839517.62,9581753.45,7406973.86,127024.55,-2047755.03,11645.58,Software,49331453.31,5.68,0.0211,MEDIUM
42779236.42,7416483.93,4993148.94,74061.47,-2349273.52,51875.21,Hardware,50062034.96,8.43,0.0383,LOW
96800041.89,13208943.62,8363696.61,38430.66,-4806816.35,327024.62,Hardware,109847144.6,11.48,0.0426,LOW
94913678.66,14900259.21,12941225.29,266020.54,-1693013.38,192514.38,Infrastructure,99999193.25,7.17,0.0361,LOW
94613220.4,7196402.78,5470226.83,120011.6,-1606164.36,22287.99,Office Supplies,99213603.29,16.92,0.0477,LOW
52723394.24,18318867.88,16413113.49,377018.64,-1528735.76,321179.44,Hardware,57293255.59,3.12,0.1842,MEDIUM
3861108.6,762835.87,711871.69,1102.42,-49861.76,750019.39,Infrastructure,3250386.36,4.36,0.0368,MEDIUM
177446077.84,16391188.64,12850130.08,296412.61,-3244645.95,57342.38,Marketing,187278427.28,13.49,0.0383,LOW
62990438.92,10286352.17,8091530.04,161679.94,-2033142.19,57080.37,Hardware,68644180.72,7.63,0.0443,LOW
75340771.93,10296457.22,8747358.39,478347.16,-1070751.67,224664.91,Marketing,78231716.31,8.14,0.0153,LOW
82329477.44,9249207.29,8503043.46,353372.81,-392791.03,265338.43,Marketing,83274362.0,9.27,0.014,LOW
58040544.53,9500386.32,7442794.07,309189.36,-1748402.88,282828.85,Marketing,62706894.2,7.45,0.0307,LOW
90662777.79,14937294.63,12469741.96,256244.4,-2211308.28,606858.55,Infrastructure,96176936.44,7.08,0.0321,LOW
19717317.27,1822088.42,1525692.26,63012.87,-233383.29,369047.57,Hardware,20056737.52,12.18,0.0093,LOW
7522644.62,8744854.91,5809286.32,121658.19,-2813910.39,346596.37,Marketing,15784104.15,1.21,0.1345,HIGH
20428445.36,18335202.56,10576370.69,61636.27,-7697195.6,272988.05,Hardware,42789263.32,1.89,0.0154,HIGH
26952070.49,6496802.39,5827930.23,191909.3,-476962.86,137865.26,Hardware,28298490.53,4.45,0.025,MEDIUM
43325713.27,3769362.44,2759485.67,155978.82,-853897.95,106169.14,Hardware,45824564.47,14.82,0.0141,LOW
11893370.18,825396.75,750183.76,6870.75,-68342.24,12844.65,Office Supplies,12085701.45,15.69,0.0323,LOW
161645135.24,16846902.74,15951403.53,629837.33,-265661.88,38229.55,Office Supplies,162391941.3,9.75,0.0155,LOW
80050870.42,17407749.56,13034230.58,177373.63,-4196145.35,276008.61,Software,91510013.11,6.04,0.0337,LOW
3405766.67,668922.25,462985.57,8948.03,-196988.65,390774.1,Marketing,3609221.76,6.39,0.0039,LOW
36574425.81,4595729.06,3671069.78,123616.92,-801042.35,10053.8,Office Supplies,38820976.54,9.64,0.0275,LOW
91363660.17,6893432.87,6209120.01,19951.61,-664361.25,546388.75,Infrastructure,92876009.52,14.58,0.0339,LOW
312697247.08,19482585.15,17859091.42,539668.16,-1083825.57,178540.2,Marketing,315930234.84,16.99,0.042,LOW
102205484.31,19473525.06,11571963.76,737947.67,-7163613.63,68463.99,Software,122615329.76,8.3,0.0427,LOW
112564278.43,11958134.95,8064800.5,341966.59,-3551367.86,896952.17,Infrastructure,122773895.76,13.28,0.0366,LOW
39061862.55,19858674.36,18552111.29,256376.41,-1050186.65,110757.72,Marketing,41913707.58,2.07,0.1713,HIGH
40645814.79,16420389.72,11078881.24,565795.22,-4775713.25,119104.32,Services,55414471.94,3.48,0.0121,MEDIUM
96485333.36,15381014.53,8779619.19,710403.65,-5890991.69,23677.69,Software,113609799.38,10.16,0.0236,LOW
6208502.93,4267243.13,2501761.59,154416.4,-1611065.14,110371.29,Hardware,10609511.61,2.3,0.0441,HIGH
8974698.39,7448990.04,4680281.51,23379.33,-2745329.21,16502.48,Software,16612902.08,1.9,0.1115,HIGH
1268931.11,700123.4,508555.94,24931.75,-166635.72,314069.87,Hardware,1485802.55,1.79,0.1315,HIGH
117672028.55,12471271.9,8371112.64,199394.86,-3900764.4,375882.72,Marketing,129387742.35,13.69,0.0119,LOW
176013430.71,16104291.6,10954373.14,96367.56,-5053550.9,754883.35,Infrastructure,189652100.29,15.86,0.0296,LOW
46958685.48,3256501.89,3013904.96,97361.45,-145235.49,39013.17,Services,47349590.9,15.08,0.0342,LOW
251840275.5,18731244.43,17175509.71,21454.6,-1534280.11,460093.25,Hardware,256165820.22,14.62,0.0491,LOW
8159112.0,7920439.99,6307393.22,354507.62,-1258539.15,36882.09,Office Supplies,11980275.57,1.22,0.298,HIGH
14497369.43,5376145.02,4677379.09,143958.98,-554806.95,415628.88,Marketing,15859356.72,2.92,0.0804,HIGH
13141880.13,2132514.2,1864288.46,68031.11,-200194.64,196863.13,Software,13534168.54,6.7,0.0309,LOW
22199025.7,15692386.87,14622815.53,151865.23,-917706.12,104348.18,Services,24979782.97,1.5,0.4625,HIGH
88972301.57,15042228.64,8340148.21,104658.04,-6597422.39,32400.92,Office Supplies,110115987.9,10.53,0.0317,LOW
89456138.73,10099394.04,8625138.49,230198.05,-1244057.5,11659.36,Office Supplies,92965122.64,10.1,0.0023,LOW
147884538.71,13085074.66,9621730.61,365634.12,-3097709.93,518678.48,Infrastructure,156107079.04,14.76,0.0403,LOW
36366774.19,11351771.48,10508451.14,198456.3,-644864.04,73588.65,Services,38351891.05,3.39,0.2123,MEDIUM
105827984.58,6958062.09,6598606.92,279311.14,-80144.03,357651.07,Hardware,105697202.15,15.33,0.0316,LOW
43849135.45,10562164.57,5876516.28,152114.25,-4533534.04,99148.72,Hardware,58297849.71,7.26,0.0091,LOW
9965361.46,749477.6,647001.72,33217.18,-69258.69,95719.49,Services,10087545.7,14.51,0.0346,LOW
111829874.99,12336249.97,8467924.62,14367.89,-3853957.46,322763.7,Hardware,123942233.13,13.15,0.0292,LOW
62305026.32,6944399.33,4908697.47,70915.41,-1964786.44,451781.32,Hardware,67586550.56,12.42,0.042,LOW
52480936.52,8912595.94,5381558.13,219310.9,-3311726.92,930408.76,Infrastructure,61394777.76,9.2,0.044,LOW
99496436.01,7278097.16,6032835.0,223198.29,-1022063.87,26850.32,Software,102481494.83,15.9,0.0479,LOW
86946787.74,8625464.09,5185549.47,363712.49,-3076202.14,444089.63,Hardware,96458208.84,15.59,0.04,LOW
15549472.83,17428655.0,13461980.78,243515.09,-3723159.14,313239.49,Infrastructure,26858273.37,1.11,0.5208,HIGH
2023733.72,2053009.19,1603332.74,52242.9,-397433.55,102134.94,Software,3163485.4,1.16,0.4691,HIGH
190023456.05,17208338.87,13051185.52,658474.19,-3498679.16,13802.81,Office Supplies,199948961.48,13.86,0.0359,LOW
46663921.81,6152041.27,3564290.55,37538.29,-2550212.43,408261.96,Marketing,54189158.94,12.84,0.0479,LOW
38633357.77,5050489.53,3667665.02,148616.7,-1234207.81,479296.69,Hardware,41802679.16,10.0,0.0108,LOW
16594291.3,1597761.34,1239478.97,10073.45,-348208.91,20904.47,Office Supplies,17535751.58,13.26,0.0278,LOW
116591589.92,17358363.64,14818065.66,544002.0,-1996295.99,38970.69,Office Supplies,122862236.7,7.59,0.0166,LOW
137136022.03,13930947.9,8493697.38,256022.93,-5181227.58,47084.53,Office Supplies,152719157.89,15.67,0.0093,LOW
51359246.42,17775167.82,13512946.64,476837.84,-3785383.33,383666.23,Hardware,61624529.26,3.64,0.0109,MEDIUM
28233901.4,5286652.17,3351036.63,134797.27,-1800818.27,91147.84,Services,33741851.74,8.07,0.0341,LOW
99038147.62,16720161.21,12439522.18,413998.76,-3866640.27,311243.74,Hardware,110139785.09,7.68,0.0162,LOW
46513858.36,11257449.24,8351361.24,158013.17,-2748074.83,167880.67,Services,54557151.26,5.45,0.0073,MEDIUM
9582666.68,5005494.66,4026777.03,119525.18,-859192.44,139899.02,Services,12106588.39,2.28,0.1699,HIGH
31272283.88,3593494.03,2699355.63,49327.53,-844810.86,23952.99,Office Supplies,33692105.47,11.37,0.0483,LOW
24713021.71,1755215.23,1411974.82,33855.62,-309384.78,131420.0,Software,25483504.98,17.0,0.006,LOW
103536168.13,15089742.01,9010485.12,371977.06,-5707279.83,73582.58,Services,119949467.3,11.03,0.0203,LOW
65029963.18,15849042.13,9173054.58,508220.22,-6167767.33,178476.91,Services,83684524.03,6.7,0.022,LOW
104350312.32,12177609.29,7854961.54,556221.41,-3766426.34,289376.4,Hardware,114829681.97,12.37,0.0368,LOW
27167429.33,16454441.64,9451599.5,645247.25,-6357594.89,56642.82,Hardware,46905005.05,2.69,0.0288,HIGH
134899191.68,13218049.71,8090682.43,95555.6,-5031811.68,316726.13,Infrastructure,149778013.95,16.44,0.0373,LOW
20230033.99,6453538.21,5260455.85,123123.96,-1069958.4,96378.88,Infrastructure,23409489.15,3.74,0.0383,MEDIUM
128371559.31,8999931.59,7448911.6,362006.22,-1189013.77,972286.88,Infrastructure,130837668.71,16.31,0.0397,LOW
3149883.19,4332433.91,2902751.69,181638.45,-1248043.77,175388.73,Services,6681863.54,0.96,0.0984,CRITICAL
94961706.76,15993930.16,12168076.9,597269.99,-3228583.27,465343.78,Hardware,103912920.24,7.4,0.0136,LOW
133256116.06,17674648.11,12160513.62,788727.84,-4725406.65,313301.31,Hardware,146977087.49,10.27,0.0428,LOW
128889314.0,18662202.21,16420464.2,653657.76,-1588080.24,85295.85,Marketing,133666689.18,7.54,0.0375,LOW
98490149.86,8204210.8,6798875.23,255992.25,-1149343.32,66936.48,Hardware,101976545.59,13.95,0.0355,LOW
97407877.29,16509727.27,11385267.51,517198.06,-4607261.7,9371.07,Office Supplies,111223191.75,8.18,0.0369,LOW
35746938.58,3828893.62,2236826.35,68425.55,-1523641.72,147304.42,Services,40426378.64,15.44,0.0325,LOW
160697433.87,13299006.09,10277912.39,447895.64,-2573198.06,183288.37,Marketing,168011446.98,14.97,0.0069,LOW
104392368.91,18326623.84,12911306.98,199342.47,-5215974.39,402241.48,Infrastructure,119582200.06,7.93,0.0256,LOW
37223834.33,6127141.58,4339055.41,186727.8,-1601358.38,418126.92,Hardware,41863542.23,8.13,0.0041,LOW
130264883.86,15734893.8,12195024.47,78717.67,-3461151.67,111440.39,Infrastructure,140509111.47,10.6,0.0185,LOW
16360704.98,3486946.36,2862903.17,16733.39,-607309.8,124762.91,Services,17960277.67,5.64,0.0103,MEDIUM
25988745.76,2456049.96,2252347.99,21839.57,-181862.41,38477.79,Office Supplies,26497369.65,11.41,0.0322,LOW
84297376.34,13427789.97,9941230.65,291633.52,-3194925.81,394463.34,Marketing,93613977.77,8.2,0.0018,LOW
7850144.21,865469.97,588915.5,11394.95,-265159.53,12091.85,Office Supplies,8676212.4,13.06,0.0111,LOW
143691896.0,15433783.47,11804025.92,78595.45,-3551162.1,404337.48,Marketing,153386588.54,12.06,0.007,LOW
6073489.07,552121.44,432258.66,23702.46,-96160.33,251135.29,Hardware,6131448.85,12.77,0.0347,LOW
17218008.14,6319934.23,3760495.61,187620.63,-2371817.98,79994.9,Marketing,23742239.72,4.34,0.0024,MEDIUM
10477503.46,2899852.09,1981208.98,65950.49,-852692.62,231117.43,Software,12851353.07,5.01,0.0131,MEDIUM
143884490.01,13432640.28,11786589.49,466270.04,-1179780.76,84076.1,Marketing,147256169.7,11.74,0.0183,LOW
70247894.31,19257523.19,13185752.99,214962.85,-5856807.34,133149.98,Services,88335212.55,5.23,0.0244,MEDIUM
28587802.02,2356998.24,1799772.97,44086.78,-513138.5,187774.48,Software,29893648.19,15.4,0.0119,LOW
16970213.34,3319063.22,2312349.6,91720.27,-914993.36,37994.08,Office Supplies,19802702.59,7.04,0.0418,LOW
119341807.37,9976696.05,7872828.96,180640.74,-1923226.36,142835.0,Infrastructure,124884445.64,14.8,0.0022,LOW
205015552.81,15854589.25,14490768.26,208084.68,-1155736.3,7642.77,Office Supplies,208305040.85,13.95,0.0084,LOW
56605208.31,4661396.56,3936198.93,148718.04,-576479.58,20902.86,Marketing,58180437.11,13.85,0.0051,LOW
115035133.85,8308719.88,6540302.0,263219.63,-1505198.25,138425.43,Hardware,119758430.75,16.89,0.0335,LOW
131112992.24,10038225.82,8770829.52,123247.78,-1144148.53,33652.26,Services,134429022.12,14.74,0.016,LOW
53013505.79,7130890.09,4041047.22,178027.56,-2911815.31,80844.03,Services,62040703.42,12.55,0.0019,LOW
89362018.96,9498849.96,5949940.95,47861.36,-3501047.66,238156.91,Hardware,99821564.68,14.86,0.0016,LOW
122616498.04,17004484.88,14508080.21,29983.92,-2466420.76,240805.72,Marketing,130118964.18,8.42,0.0135,LOW
11413618.28,1152149.54,883927.3,10259.78,-257962.47,346971.03,Infrastructure,11862810.71,12.38,0.0199,LOW
123047154.48,14220894.58,8446312.41,411197.78,-5363384.39,201051.83,Software,139633024.94,13.87,0.0462,LOW
32730573.28,8772300.01,6234663.95,437831.79,-2099804.26,253667.38,Marketing,38514417.1,4.87,0.044,MEDIUM
147817369.13,16013880.8,13312217.19,36411.92,-2665251.7,235410.47,Hardware,155107997.55,11.06,0.0269,LOW
15602708.44,5766767.29,3368656.54,230914.47,-2167196.29,380341.56,Hardware,21840559.64,4.23,0.0037,MEDIUM
54744610.3,4196449.72,3321239.87,65021.36,-810188.48,324921.39,Marketing,57035203.17,16.07,0.0113,LOW
33198513.91,8401177.34,6880134.42,201537.55,-1319505.37,29253.26,Office Supplies,37090807.03,4.68,0.041,MEDIUM
14012899.68,1719834.12,1423681.49,1921.63,-294231.0,38846.91,Office Supplies,14923603.36,9.8,0.0334,LOW
153354361.42,13451765.34,12317367.1,153570.27,-980827.97,157094.09,Services,156110068.83,12.28,0.0182,LOW
16503064.15,16368303.85,11554921.95,142491.23,-4670890.66,44480.2,Services,31573577.05,1.41,0.133,HIGH
146804179.86,17990071.79,13282973.48,237843.63,-4469254.68,83622.87,Hardware,160142436.49,10.85,0.0382,LOW
20742220.99,8111634.28,7508045.41,328621.72,-274967.15,8164.28,Office Supplies,21518851.33,2.65,0.2105,HIGH
6049265.34,1973397.3,1579998.96,85520.84,-307877.5,59652.02,Marketing,6855345.95,3.6,0.0245,MEDIUM
178364070.12,13017267.92,10114983.5,548613.98,-2353670.44,871889.51,Infrastructure,184433792.42,16.64,0.0379,LOW
73421076.0,6710227.42,6277447.34,91543.74,-341236.34,143012.63,Services,74249499.92,11.51,0.0343,LOW
10208913.41,6681998.84,4440616.42,173989.86,-2067392.55,27551.53,Office Supplies,16730863.2,2.21,0.231,HIGH
76045511.18,7180872.81,4563672.08,67349.49,-2549851.24,348267.48,Hardware,82911549.42,16.35,0.0103,LOW
